family,method,size,decision_accuracy,safety_score,clinical_correctness,completeness,coherence,format_compliance,reasoning_mean,composite_5,n_samples,pct_of_teacher
E-series,E7 Dec Only,7B,4.15,3.74,2.87,3.73,4.34,4.99,3.6466666666666665,3.7660000000000005,100,96.1
M2v2 Sequential,M2v2 WED,7B,4.292929292929293,3.696969696969697,2.7777777777777777,3.474747474747475,4.363636363636363,4.959595959595959,3.5387205387205385,3.721212121212121,99,95.0
M v1,M3 Juggler,7B,4.030612244897959,3.3469387755102042,2.4285714285714284,3.204081632653061,4.23469387755102,4.969387755102041,3.2891156462585034,3.4489795918367347,98,88.0
M3v2 Juggler,M3v2 Juggler,7B,4.030612244897959,3.3979591836734695,2.3469387755102042,3.122448979591837,4.214285714285714,4.989795918367347,3.227891156462585,3.422448979591837,98,87.4
Baseline,Raw Baseline,7B,4.15,3.36,2.39,2.77,4.09,2.48,3.0833333333333335,3.3519999999999994,100,85.6
M1v2 Additive,M1v2 A1,3B,4.15,3.04,1.76,2.67,3.64,4.97,2.69,3.0520000000000005,100,77.9
